id,fecha,lane,summonerName,championName,kills,deaths,assists,KDA,totalMinionsKilled,Minions/Min,wardsPlaced,visionWardsBoughtInGame,win
EUW1_5513845656,20/10/2021,JUNGLE,WDNW ŠtîCkS,Viego,9,8,11,2.5,66,1.67,6,12,0
EUW1_5513845656,20/10/2021,TOP,RunnanPlays,Anivia,5,7,12,2.43,257,6.5,20,7,0
EUW1_5513845656,20/10/2021,BOTTOM,Megaibacu,Rakan,0,9,19,2.11,59,1.49,46,8,0
EUW1_5513845656,20/10/2021,TOP,Marcostiz,Gnar,5,8,10,1.88,167,4.23,11,1,0
EUW1_5513845656,20/10/2021,BOTTOM,Chιzuru,Jhin,14,7,8,3.14,302,7.64,19,8,0
EUW1_5515196301,20/10/2021,MIDDLE,RunnanPlays,Annie,6,7,6,1.71,198,6.79,9,3,0
EUW1_5515196301,20/10/2021,MIDDLE,RunnanPlays,Annie,6,7,6,1.71,198,6.79,9,3,0
EUW1_5513840598,20/10/2021,TOP,alexgarcy,Mordekaiser,2,10,2,0.4,149,5.28,9,1,0
EUW1_5513840598,20/10/2021,JUNGLE,WDNW ŠtîCkS,Qiyana,10,8,6,2.0,38,1.35,3,2,0
EUW1_5513840598,20/10/2021,MIDDLE,Megaibacu,KogMaw,7,10,6,1.3,189,6.7,8,3,0
EUW1_5513840598,20/10/2021,BOTTOM,Chιzuru,Sion,3,13,10,1.0,161,5.71,5,2,0
EUW1_5513840598,20/10/2021,TOP,alexgarcy,Mordekaiser,2,10,2,0.4,149,5.28,9,1,0
EUW1_5513840598,20/10/2021,JUNGLE,WDNW ŠtîCkS,Qiyana,10,8,6,2.0,38,1.35,3,2,0
EUW1_5513840598,20/10/2021,MIDDLE,Megaibacu,KogMaw,7,10,6,1.3,189,6.7,8,3,0
EUW1_5513840598,20/10/2021,BOTTOM,Chιzuru,Sion,3,13,10,1.0,161,5.71,5,2,0
EUW1_5513840598,20/10/2021,TOP,alexgarcy,Mordekaiser,2,10,2,0.4,149,5.28,9,1,0
EUW1_5513840598,20/10/2021,JUNGLE,WDNW ŠtîCkS,Qiyana,10,8,6,2.0,38,1.35,3,2,0
EUW1_5513840598,20/10/2021,MIDDLE,Megaibacu,KogMaw,7,10,6,1.3,189,6.7,8,3,0
EUW1_5513840598,20/10/2021,BOTTOM,Chιzuru,Sion,3,13,10,1.0,161,5.71,5,2,0
